Rk,Player,Pos,Age,Team?,G,MP,WR,TS,FTr,3PAr,FG,2P,3P,eFG,FT,,
1,Robin Lopez,C,32,WAS,71,1354,0.619,0.661,0.322,0.042,0.633,0.649,0.278,0.639,0.723,,
2,Russell Westbrook,PG,32,WAS,65,2369,0.619,0.509,0.334,0.221,0.439,0.475,0.315,0.474,0.656,,Correlation 
3,Garrison Mathews,SG,24,WAS,64,1038,0.619,0.635,0.401,0.835,0.409,0.538,0.384,0.57,0.884,,0.223486441
4,Raul Neto,PG,28,WAS,64,1403,0.619,0.575,0.19,0.367,0.468,0.512,0.39,0.539,0.882,,
5,Bradley Beal,SG,27,WAS,60,2147,0.619,0.593,0.332,0.27,0.485,0.535,0.348,0.532,0.889,,
6,D?vis Bert?ns,PF,28,WAS,57,1464,0.619,0.62,0.241,0.895,0.404,0.48,0.395,0.581,0.87,,
7,Rui Hachimura,PF,22,WAS,57,1797,0.619,0.549,0.248,0.211,0.478,0.519,0.329,0.513,0.77,,
8,Deni Avdija,SF,20,WAS,54,1257,0.619,0.515,0.144,0.538,0.417,0.535,0.316,0.502,0.644,,
9,Ish Smith,PG,32,WAS,44,924,0.619,0.473,0.111,0.165,0.434,0.448,0.367,0.465,0.576,,
10,Isaac Bonga,SF,21,WAS,40,432,0.619,0.461,0.099,0.58,0.37,0.5,0.277,0.451,0.625,,
11,Anthony Gill,PF,28,WAS,26,218,0.619,0.597,0.267,0.4,0.5,0.639,0.292,0.558,0.812,,
12,Cassius Winston,PG,22,WAS,22,98,0.619,0.575,0.182,0.515,0.424,0.375,0.471,0.545,0.833,,
13,Bojan Bogdanovi?,SF,31,UTA,72,2216,0.722,0.588,0.286,0.498,0.439,0.487,0.391,0.536,0.879,,
14,Georges Niang,PF,27,UTA,72,1154,0.722,0.602,0.057,0.721,0.437,0.469,0.425,0.59,0.957,,
15,Rudy Gobert,C,28,UTA,71,2187,0.722,0.682,0.646,0.007,0.675,0.68,0,0.675,0.623,,
16,Royce O'Neale,SF,27,UTA,71,2241,0.722,0.599,0.117,0.706,0.444,0.586,0.385,0.58,0.848,,
17,Jordan Clarkson,SG,28,UTA,68,1818,0.722,0.549,0.134,0.557,0.425,0.523,0.347,0.522,0.896,,
18,Derrick Favors,C,29,UTA,68,1039,0.722,0.663,0.329,0.008,0.638,0.643,0,0.638,0.738,,
19,Joe Ingles,SF,33,UTA,67,1867,0.722,0.672,0.16,0.722,0.489,0.59,0.451,0.652,0.844,,
20,Miye Oni,SG,23,UTA,54,519,0.722,0.516,0.061,0.889,0.353,0.455,0.341,0.505,0.833,,
21,Donovan Mitchell,PG,24,UTA,53,1771,0.722,0.57,0.29,0.422,0.438,0.476,0.386,0.52,0.845,,
22,Mike Conley,PG,33,UTA,51,1498,0.722,0.589,0.222,0.523,0.444,0.479,0.412,0.552,0.852,,
23,Trent Forrest,PG,22,UTA,30,302,0.722,0.554,0.268,0.366,0.451,0.6,0.192,0.486,1,,
24,Juwan Morgan,PF,23,UTA,29,147,0.722,0.529,0.233,0.433,0.467,0.588,0.308,0.533,0.429,,
25,Jarrell Brantley,PF,24,UTA,28,138,0.722,0.605,0.038,0.538,0.481,0.542,0.429,0.596,1,,
26,Stanley Johnson,PF,24,TOR,61,1006,0.375,0.519,0.236,0.588,0.382,0.458,0.329,0.479,0.8,,
27,Chris Boucher,C,28,TOR,60,1453,0.375,0.634,0.345,0.42,0.514,0.609,0.383,0.595,0.788,,
28,Pascal Siakam,PF,26,TOR,56,2006,0.375,0.547,0.313,0.256,0.455,0.509,0.297,0.493,0.827,,
29,Aron Baynes,C,34,TOR,53,980,0.375,0.503,0.135,0.339,0.441,0.532,0.262,0.485,0.707,,
30,Fred VanVleet,SG,26,TOR,52,1899,0.375,0.534,0.22,0.547,0.389,0.416,0.365,0.489,0.885,,
31,DeAndre' Bembry,SF,26,TOR,51,972,0.375,0.57,0.289,0.233,0.513,0.589,0.264,0.544,0.682,,
32,Yuta Watanabe,SF,26,TOR,50,723,0.375,0.566,0.161,0.5,0.439,0.478,0.4,0.539,0.828,,
33,Malachi Flynn,PG,22,TOR,47,928,0.375,0.484,0.165,0.494,0.373,0.424,0.321,0.453,0.804,,
34,Kyle Lowry,PG,34,TOR,46,1601,0.375,0.594,0.269,0.555,0.436,0.487,0.396,0.546,0.875,,
35,OG Anunoby,SF,23,TOR,43,1433,0.375,0.605,0.197,0.503,0.48,0.562,0.399,0.58,0.784,,
